x,z,Density,Nu_Tilde,Pressure,Temperature,U,W,dUdX,dWdX,dUdZ,dWdZ,d2UdX2,d2WdZ2,dNu_tdX,dNu_tdZ
-0.33333,1,1.32904,4.16718E-05,114458,300.011,69.3978,0.0150606,-0.108031,0.164869,0.0184868,0.0572978,0.0631995,0.144602,2.0267E-08,1.22195E-09
-0.33333,0,1.32916,4.16987E-05,114472,300.021,69.3722,-4.67613E-08,-0.0373293,1.17065E-06,0.542601,-0.0544178,-0.644586,1948.48,7.02255E-07,1.02829E-06
-0.33333,0.783489,1.32906,4.16715E-05,114460,300.013,69.3938,0.00265499,-0.0409654,0.129888,0.0268759,0.02599,-0.0408363,0.147547,9.38369E-09,9.23708E-10
-0.33333,0.613855,1.32908,4.16714E-05,114463,300.015,69.3883,0.00173441,-0.00433585,0.124765,0.0316034,0.000632929,0.0432138,0.0784643,8.1556E-09,5.8573E-10
-0.33333,0.480948,1.3291,4.16713E-05,114465,300.016,69.3841,0.00206992,0.00446424,0.133878,0.0332869,-0.00357911,0.105491,0.0134162,7.78661E-09,-6.45753E-11
-0.33333,0.376818,1.32911,4.16714E-05,114466,300.017,69.3805,0.00251527,0.00448489,0.145923,0.0353982,-0.00371719,0.11005,-0.00884731,8.7847E-09,-4.66551E-10
-0.33333,0.295232,1.32912,4.16714E-05,114468,300.018,69.3776,0.00278812,0.00163869,0.150564,0.0364709,-0.00244236,0.0409919,-0.036613,0.000000009,-6.54832E-10
-0.33333,0.231311,1.32913,4.16715E-05,114469,300.019,69.3752,0.00290538,-0.00404966,0.147467,0.0353379,0.000802098,-0.0950733,-0.0722069,8.90012E-09,-6.39942E-10
-0.33333,0.18123,1.32914,4.16715E-05,114470,300.02,69.3735,0.0027746,-0.0113436,0.136342,0.0323521,0.00515543,-0.283467,-0.104112,8.12075E-09,-5.33516E-10
-0.33333,0.141992,1.32915,4.16715E-05,114470,300.02,69.3723,0.00250189,-0.0188264,0.120501,0.0281176,0.00971634,-0.488492,-0.119425,7.22314E-09,-2.76114E-10
-0.33333,0.111249,1.32915,4.16715E-05,114471,300.021,69.3715,0.00214065,-0.0252128,0.102386,0.0235455,0.0134599,-0.677826,-0.11812,0.000000006,-1.14388E-11
-0.33333,0.0871622,1.32915,4.16715E-05,114471,300.021,69.371,0.00178432,-0.0301032,0.0847243,0.0191471,0.0162364,-0.82906,-0.106558,0.000000005,2.69572E-10
-0.33333,0.0682906,1.32915,4.16715E-05,114471,300.021,69.3707,0.00145491,-0.0336195,0.0686801,0.0152054,0.0181083,-0.937142,-0.092815,3.83164E-09,4.58514E-10
-0.33333,0.0535049,1.32915,4.16715E-05,114471,300.021,69.3705,0.00117816,-0.0361643,0.0550354,0.0118326,0.0193928,-1.00689,-0.0861338,2.86191E-09,5.85065E-10
-0.33333,0.0419205,1.32916,4.16715E-05,114471,300.021,69.3704,0.00094537,-0.0381106,0.0437025,0.00898014,0.0203817,-1.04777,-0.0851344,1.86385E-09,6.25418E-10
-0.33333,0.0328443,1.32916,4.16715E-05,114471,300.021,69.3703,0.00075737,-0.0396961,0.0345722,0.00667576,0.0211519,-1.06806,-0.0888479,0.000000001,5.02942E-10
-0.33333,0.0257331,1.32916,4.16715E-05,114471,300.021,69.3702,0.000602978,-0.0409808,0.0272534,0.00443331,0.0218199,-1.0739,-0.0768445,2.61877E-10,-1.15166E-10
-0.33333,0.0201616,1.32916,4.16715E-05,114471,300.021,69.3702,0.000480574,-0.0419452,0.0214869,0.00148124,0.0221169,-1.07002,-0.0377862,-2.58599E-10,-1.87313E-09
-0.33333,0.0157964,1.32916,4.16715E-05,114472,300.021,69.3702,0.000383092,-0.0426915,0.016923,-0.00297143,0.0221831,-1.06188,-0.000886344,-1.48736E-09,-4.37734E-09
-0.33333,0.0123763,1.32916,4.16715E-05,114472,300.021,69.3703,0.000307994,-0.0435788,0.0133323,-0.00745008,0.0221121,-1.05598,-0.0775581,-2.89723E-09,-4.33159E-09
-0.33333,0.00969669,1.32916,4.16715E-05,114472,300.021,69.3703,0.000248098,-0.0450952,0.0104674,-0.00710899,0.02273,-1.05738,-0.448801,1.53378E-09,1.31409E-08
-0.33333,0.00759724,1.32916,4.16715E-05,114472,300.021,69.3703,0.000199123,-0.0474732,0.00819014,0.00410505,0.0243976,-1.06543,-1.15559,5.7941E-09,-1.69459E-09
-0.33333,0.00595235,1.32916,4.16716E-05,114472,300.021,69.3703,0.000156175,-0.0503525,0.00637255,0.0253279,0.0272497,-1.07176,-1.9071,9.34054E-09,-5.19136E-08
-0.33333,0.0046636,1.32916,4.16716E-05,114472,300.021,69.3702,0.000118689,-0.0528246,0.00495051,0.0407991,0.0300672,-1.06328,-1.90335,8.52643E-09,-2.70596E-09
-0.33333,0.00365387,1.32916,4.16716E-05,114472,300.021,69.3702,8.67274E-05,-0.0539078,0.00384732,0.0217098,0.0315269,-1.02954,-0.268346,2.48706E-09,-5.59337E-08
-0.33333,0.00286276,1.32916,4.16717E-05,114472,300.021,69.3702,6.19495E-05,-0.0531431,0.00300799,-0.0542919,0.0302282,-0.969661,3.37779,1.58987E-08,-3.64833E-07
-0.33333,0.00224293,1.32916,4.16721E-05,114472,300.021,69.3703,0.000044313,-0.050904,0.00236499,-0.172748,0.0263859,-0.894303,7.96267,3.40821E-08,-5.78911E-07
-0.33333,0.00175729,1.32916,4.16724E-05,114472,300.021,69.3704,3.31326E-05,-0.0482263,0.00187161,-0.261186,0.0211259,-0.821319,11.0322,4.64571E-08,-4.57644E-07
-0.33333,0.0013768,1.32916,4.16725E-05,114472,300.021,69.3705,2.62687E-05,-0.0462964,0.00148453,-0.200384,0.0168037,-0.767983,9.1796,6.03302E-08,-0.000001052
-0.33333,0.00107868,1.32916,4.16732E-05,114472,300.021,69.3705,0.000021859,-0.0459186,0.00118074,0.123331,0.0151251,-0.744242,0.109079,1.02626E-07,-4.56783E-06
-0.33333,0.000845106,1.32916,4.16751E-05,114472,300.021,69.3704,1.81994E-05,-0.0472296,0.000940429,0.739107,0.0171998,-0.750069,-16.0694,1.82463E-07,-1.01279E-05
-0.33333,0.000662092,1.32916,4.16775E-05,114472,300.021,69.3702,1.45949E-05,-0.0497419,0.000753476,1.51972,0.0222828,-0.777156,-34.8459,0.000000271,-1.46244E-05
-0.33333,0.000518692,1.32916,0.00004168,114472,300.021,69.3699,1.07952E-05,-0.0526152,0.00060805,2.15467,0.0289313,-0.813092,-48.2459,0.000000354,-1.88542E-05
-0.33333,0.000406325,1.32916,4.16824E-05,114472,300.021,69.3696,7.09891E-06,-0.0549897,0.000496159,2.19426,0.0346971,-0.845711,-45.1354,4.27687E-07,-2.52205E-05
-0.33333,0.00031827,1.32916,4.16851E-05,114472,300.021,69.3695,3.7852E-06,-0.0562417,0.000408431,1.16758,0.0377859,-0.866097,-15.6195,4.93892E-07,-3.72935E-05
-0.33333,0.000249257,1.32916,4.16884E-05,114472,300.021,69.3695,1.16021E-06,-0.0561028,0.000338809,-1.24974,0.0366777,-0.869836,47.3705,5.54912E-07,-5.40502E-05
-0.33333,0.000195157,1.32916,4.16919E-05,114472,300.021,69.3696,-7.04432E-07,-0.0546517,0.000281521,-5.06641,0.0313583,-0.856852,142.047,6.06492E-07,-6.57552E-05
-0.33333,0.000152734,1.32916,4.16948E-05,114472,300.021,69.37,-1.8203E-06,-0.0522208,0.000233671,-9.86887,0.0223159,-0.830396,258.986,6.44771E-07,-6.57138E-05
-0.33333,0.00011945,1.32916,4.16968E-05,114472,300.021,69.3704,-2.34749E-06,-0.0492678,0.000192768,-14.8381,0.0112172,-0.795668,377.405,6.70401E-07,-5.60871E-05
-0.33333,9.33115E-05,1.32916,4.16981E-05,114472,300.021,69.3709,-2.4448E-06,-0.046251,0.000157938,-18.9206,-0.000510557,-0.758396,475.126,6.8607E-07,-4.08192E-05
-0.33333,7.27565E-05,1.32916,4.16987E-05,114472,300.021,69.3713,-2.29359E-06,-0.043534,0.00012818,-21.1284,-0.0111556,-0.723607,529.425,6.9484E-07,-2.41878E-05
-0.33333,5.65545E-05,1.32916,4.16989E-05,114472,300.021,69.3716,-2.01377E-06,-0.0413353,0.000103115,-20.8736,-0.0200344,-0.694774,536.756,6.99309E-07,-9.6367E-06
-0.33333,4.37363E-05,1.32916,0.000041699,114472,300.021,69.3719,-1.70037E-06,-0.0397227,8.20669E-05,-18.2019,-0.0266842,-0.673476,504.803,7.01351E-07,8.68527E-07
-0.33333,3.35349E-05,1.32916,4.16989E-05,114472,300.021,69.3721,-1.39216E-06,-0.0386467,6.45344E-05,-13.8075,-0.0316088,-0.65958,471.46,7.02153E-07,6.87818E-06
