Epoch,Learning rate,Training loss,Testing loss,RANS loss,BC loss,Sample loss
0.000000000000000000e+00,1.000000000000000048e-04,3.138124443622533818e+03,1.693386360783818532e+02,3.342691015625000261e+00,1.232658505439758329e-01,1.814565741000225785e+01
4.900000000000000000e+01,1.000000000000000048e-04,2.896115051112953552e+03,1.592813530410170699e+02,7.894375000000000853e+01,1.164913892745971791e-01,1.726032604766644951e+01
9.800000000000000000e+01,1.000000000000000048e-04,2.890117350788430485e+03,1.584278243616621182e+02,9.287010625000000630e+01,1.164800405502319364e-01,1.717864943824701740e+01
1.470000000000000000e+02,1.000000000000000048e-04,2.885475553418729760e+03,1.581749707768162807e+02,9.177570000000000050e+01,1.165569901466369657e-01,1.714676085646536308e+01
1.960000000000000000e+02,1.000000000000000048e-04,2.878939076602964633e+03,1.578481404633968737e+02,9.137709999999999866e+01,1.164852380752563477e-01,1.710517874634905411e+01
2.450000000000000000e+02,1.000000000000000048e-04,2.871124990850784343e+03,1.571277587910868476e+02,8.728486250000000268e+01,1.160799741744995145e-01,1.702348397326581875e+01
2.940000000000000000e+02,1.000000000000000048e-04,2.857816996466472574e+03,1.563400870199323265e+02,8.259574374999999691e+01,1.151715874671936091e-01,1.692520327246137057e+01
3.430000000000000000e+02,1.000000000000000048e-04,2.835446858843463360e+03,1.554878117858711732e+02,7.541486249999999814e+01,1.135334014892578208e-01,1.681145347195411688e+01
3.920000000000000000e+02,1.000000000000000048e-04,2.803777964239508947e+03,1.541068609809701684e+02,6.236001250000000340e+01,1.102637529373168973e-01,1.663005906243268939e+01
4.410000000000000000e+02,1.000000000000000048e-04,2.753513819502910337e+03,1.520272285229208933e+02,4.708454687500000091e+01,1.042900443077087458e-01,1.634385177125819411e+01
4.900000000000000000e+02,1.000000000000000048e-04,2.676076483098572680e+03,1.486217874430457186e+02,4.403622187500000251e+01,1.020481944084167536e-01,1.594266519464501997e+01
5.390000000000000000e+02,1.000000000000000048e-04,2.669249352580308368e+03,1.484290903847043239e+02,5.371166250000000275e+01,1.012260913848876953e-01,1.591495249250158395e+01
5.880000000000000000e+02,1.000000000000000048e-04,2.667709820101387777e+03,1.484335968257599063e+02,5.410604375000000488e+01,1.016282916069030789e-01,1.590836880823034427e+01
6.370000000000000000e+02,1.000000000000000048e-04,2.666137917228028073e+03,1.472858286183042651e+02,4.923229375000000374e+01,1.031580448150634793e-01,1.578667339844774986e+01
